Processing /home/gridsan/akolodziej/TED/ted_365m.domain_summary.cath.globularity.taxid.tsv
Output will be written to outputs/nested_domain_pairs_validations.tsv
Processed 2950000 lines, found 2431 nested pairs, skipped 563730 low quality
Processed 2960000 lines, found 2444 nested pairs, skipped 565719 low quality
Processed 2970000 lines, found 2481 nested pairs, skipped 567973 low quality
Processed 2980000 lines, found 2493 nested pairs, skipped 569919 low quality
Processed 2990000 lines, found 2497 nested pairs, skipped 571966 low quality
Processed 3000000 lines, found 2522 nested pairs, skipped 574174 low quality
Processed 3010000 lines, found 2555 nested pairs, skipped 576407 low quality
Processed 3020000 lines, found 2595 nested pairs, skipped 578620 low quality
Processed 3030000 lines, found 2603 nested pairs, skipped 580420 low quality
Processed 3040000 lines, found 2609 nested pairs, skipped 582325 low quality
Processed 3050000 lines, found 2616 nested pairs, skipped 584306 low quality
Processed 3060000 lines, found 2636 nested pairs, skipped 586314 low quality
Processed 3070000 lines, found 2675 nested pairs, skipped 588674 low quality
Processed 3080000 lines, found 2712 nested pairs, skipped 590972 low quality
Processed 3090000 lines, found 2732 nested pairs, skipped 593135 low quality
Processed 3100000 lines, found 2740 nested pairs, skipped 595173 low quality
Processed 3110000 lines, found 2748 nested pairs, skipped 597030 low quality
Processed 3120000 lines, found 2749 nested pairs, skipped 599256 low quality
Processed 3130000 lines, found 2751 nested pairs, skipped 601434 low quality
Processed 3140000 lines, found 2770 nested pairs, skipped 603479 low quality
Processed 3150000 lines, found 2776 nested pairs, skipped 605117 low quality
Processed 3160000 lines, found 2778 nested pairs, skipped 606859 low quality
Processed 3170000 lines, found 2780 nested pairs, skipped 608652 low quality
Processed 3180000 lines, found 2780 nested pairs, skipped 610429 low quality
Processed 3190000 lines, found 2787 nested pairs, skipped 612205 low quality
Processed 3200000 lines, found 2806 nested pairs, skipped 614198 low quality
Processed 3210000 lines, found 2809 nested pairs, skipped 615912 low quality
Processed 3220000 lines, found 2816 nested pairs, skipped 617725 low quality
Processed 3230000 lines, found 2828 nested pairs, skipped 619845 low quality
Processed 3240000 lines, found 2833 nested pairs, skipped 621692 low quality
Processed 3250000 lines, found 2842 nested pairs, skipped 623678 low quality
Processed 3260000 lines, found 2860 nested pairs, skipped 625830 low quality
Processed 3270000 lines, found 2875 nested pairs, skipped 627981 low quality
Processed 3280000 lines, found 2895 nested pairs, skipped 630059 low quality
Processed 3290000 lines, found 2901 nested pairs, skipped 632102 low quality
Processed 3300000 lines, found 2908 nested pairs, skipped 634057 low quality
Processed 3310000 lines, found 2917 nested pairs, skipped 636060 low quality
Processed 3320000 lines, found 2918 nested pairs, skipped 637837 low quality
Processed 3330000 lines, found 2921 nested pairs, skipped 639917 low quality
Processed 3340000 lines, found 2930 nested pairs, skipped 641659 low quality
Processed 3350000 lines, found 2940 nested pairs, skipped 643529 low quality
Processed 3360000 lines, found 2942 nested pairs, skipped 645471 low quality
Processed 3370000 lines, found 2944 nested pairs, skipped 647474 low quality
Processed 3380000 lines, found 2949 nested pairs, skipped 649514 low quality
Processed 3390000 lines, found 2953 nested pairs, skipped 651427 low quality
Processed 3400000 lines, found 2955 nested pairs, skipped 653437 low quality
Processed 3410000 lines, found 2959 nested pairs, skipped 655435 low quality
Processed 3420000 lines, found 2960 nested pairs, skipped 657018 low quality
Processed 3430000 lines, found 2961 nested pairs, skipped 658520 low quality
Processed 3440000 lines, found 2963 nested pairs, skipped 660032 low quality
Processed 3450000 lines, found 2966 nested pairs, skipped 661546 low quality
Processed 3460000 lines, found 2967 nested pairs, skipped 663457 low quality
Processed 3470000 lines, found 2968 nested pairs, skipped 665449 low quality
Processed 3480000 lines, found 2971 nested pairs, skipped 667162 low quality
Processed 3490000 lines, found 2978 nested pairs, skipped 668946 low quality
Processed 3500000 lines, found 2981 nested pairs, skipped 670733 low quality
Processed 3510000 lines, found 2988 nested pairs, skipped 672558 low quality
Processed 3520000 lines, found 2994 nested pairs, skipped 674353 low quality
Processed 3530000 lines, found 2997 nested pairs, skipped 676069 low quality
Processed 3540000 lines, found 3002 nested pairs, skipped 678419 low quality
Processed 3550000 lines, found 3020 nested pairs, skipped 680430 low quality
Processed 3560000 lines, found 3035 nested pairs, skipped 682518 low quality
Processed 3570000 lines, found 3041 nested pairs, skipped 684544 low quality
Processed 3580000 lines, found 3043 nested pairs, skipped 686164 low quality
Processed 3590000 lines, found 3053 nested pairs, skipped 688362 low quality
Processed 3600000 lines, found 3056 nested pairs, skipped 690318 low quality
Processed 3610000 lines, found 3060 nested pairs, skipped 692555 low quality
Processed 3620000 lines, found 3068 nested pairs, skipped 694654 low quality
Processed 3630000 lines, found 3077 nested pairs, skipped 696601 low quality
Processed 3640000 lines, found 3081 nested pairs, skipped 698129 low quality
Processed 3650000 lines, found 3088 nested pairs, skipped 699909 low quality
Processed 3660000 lines, found 3106 nested pairs, skipped 702103 low quality
Processed 3670000 lines, found 3109 nested pairs, skipped 704069 low quality
Processed 3680000 lines, found 3126 nested pairs, skipped 705769 low quality
Processed 3690000 lines, found 3130 nested pairs, skipped 707585 low quality
Processed 3700000 lines, found 3132 nested pairs, skipped 709584 low quality
Processed 3710000 lines, found 3134 nested pairs, skipped 711441 low quality
Processed 3720000 lines, found 3145 nested pairs, skipped 713484 low quality
Processed 3730000 lines, found 3157 nested pairs, skipped 715610 low quality
Processed 3740000 lines, found 3169 nested pairs, skipped 717651 low quality
Processed 3750000 lines, found 3199 nested pairs, skipped 719924 low quality
