Starting TSV processing...
Reading TSV file: outputs/uniref50_nested_domain_pairs.tsv
Dataset shape: (129170, 7)
Columns: ['uniprot_id', 'parent_ted', 'parent_boundaries', 'parent_cath', 'insert_ted', 'insert_boundaries', 'insert_cath']
Found 467 unique insert_cath values
Insert CATH: 2.60.120.620 -> 1 unique parent CATHs
Insert CATH: 1.10.150.240 -> 1 unique parent CATHs
Insert CATH: 3.30.920.50 -> 1 unique parent CATHs
Insert CATH: 1.20.91.20 -> 1 unique parent CATHs
Insert CATH: 3.30.70.990 -> 1 unique parent CATHs
Insert CATH: 3.90.420.10 -> 1 unique parent CATHs
Insert CATH: 2.60.40.3110 -> 1 unique parent CATHs
Insert CATH: 3.30.1360.100 -> 2 unique parent CATHs
Insert CATH: 3.40.50.1820 -> 2 unique parent CATHs
Insert CATH: 3.40.1550.10 -> 1 unique parent CATHs
Insert CATH: 3.60.15.10 -> 1 unique parent CATHs
Insert CATH: 1.20.120.230 -> 2 unique parent CATHs
Insert CATH: 2.60.120.1060 -> 1 unique parent CATHs
Insert CATH: 3.30.700.10 -> 1 unique parent CATHs
Insert CATH: 3.40.50.80 -> 1 unique parent CATHs
Insert CATH: 3.90.1010.20 -> 1 unique parent CATHs
Insert CATH: 3.90.650.10 -> 1 unique parent CATHs
Insert CATH: 3.30.1360.120 -> 1 unique parent CATHs
Insert CATH: 3.30.200.20 -> 1 unique parent CATHs
Insert CATH: 2.40.160.20 -> 1 unique parent CATHs
Insert CATH: 1.10.260.40 -> 1 unique parent CATHs
Insert CATH: 3.30.1360.140 -> 1 unique parent CATHs
Insert CATH: 3.30.70.3160 -> 1 unique parent CATHs
Insert CATH: 1.10.3660.10 -> 1 unique parent CATHs
Insert CATH: 3.30.60.20 -> 1 unique parent CATHs
Insert CATH: 3.30.200.110 -> 1 unique parent CATHs
Insert CATH: 3.30.310.210 -> 1 unique parent CATHs
Insert CATH: 2.40.50.690 -> 1 unique parent CATHs
Insert CATH: 3.10.20.620 -> 1 unique parent CATHs
Insert CATH: 2.60.200.20 -> 2 unique parent CATHs
Insert CATH: 3.10.200.10 -> 1 unique parent CATHs
Insert CATH: 3.30.410.40 -> 1 unique parent CATHs
Insert CATH: 3.10.120.10 -> 1 unique parent CATHs
